<<<*** Successful Sequential Search ***>>>

ID     Number of Comparison
--     --------------------
1111   1              
3352   2              
4567   3              
5678   4              
6789   5              
7890   6              
8901   7              
9012   8              
1223   9              
2113   10             
8546   11             
2374   12             
4723   13             
9573   14             
3284   15             
7474   16             
8594   17             
3589   18             
5858   19             
1925   20             

Average Number of probes: 10.50

<<<*** Unsuccessful Sequential Search ***>>>

ID     Number of Comparison
--     --------------------
9456   20             
3584   20             
2222   20             
4319   20             
4477   20             
5710   20             
5497   20             
1502   20             
1599   20             
1504   20             
1506   20             
9943   20             
8833   20             
9944   20             
6678   20             
5555   20             
5660   20             
9911   20             
6130   20             
1613   20             

Average Number of probes: 20.00

<<<*** Successful Binary Search ***>>>

ID     Number of Comparison
--     --------------------
1111   5              
1223   4              
1925   6              
2113   8              
2374   3              
3284   6              
3352   5              
3589   7              
4567   9              
4723   2              
5678   6              
5858   5              
6789   7              
7474   9              
7890   4              
8546   7              
8594   9              
8901   6              
9012   8              
9573   10             

Average Number of probes: 6.30

<<<*** Unsuccessful Binary Search ***>>>

ID     Number of Comparison
--     --------------------
9456   9              
3584   6              
2222   8              
4319   8              
4477   8              
5710   6              
5497   5              
1502   5              
1599   5              
1504   5              
1506   5              
9943   10             
8833   9              
9944   10             
6678   6              
5555   5              
5660   5              
9911   10             
6130   6              
1613   5              

Average Number of probes: 6.80

Storing with Division Method/Hash Table

Array Index    ID     
-----------    --     
0              7474   
1              1111   
2              1223   
3              3589   
4              2113   
5              1925   
6              2374   
7              -1     
8              -1     
9              7890   
10             8594   
11             -1     
12             5858   
13             -1     
14             -1     
15             -1     
16             4567   
17             5678   
18             6789   
19             -1     
20             -1     
21             8901   
22             3352   
23             9012   
24             4723   
25             -1     
26             -1     
27             9573   
28             3284   
29             -1     
30             -1     
31             -1     
32             -1     
33             -1     
34             -1     
35             -1     
36             8546   
37             -1     
38             -1     
39             -1     

<<<*** Succ/Division Method ***>>>

ID     Number of Comparison
--     --------------------
1111   1              
3352   1              
4567   1              
5678   1              
6789   1              
7890   1              
8901   1              
9012   3              
1223   1              
2113   1              
8546   1              
2374   1              
4723   1              
9573   1              
3284   1              
7474   1              
8594   1              
3589   4              
5858   1              
1925   5              

Average Number of probes: 1.45

<<<*** Unsucc/Division Method ***>>>

ID     Number of Comparison
--     --------------------
9456   5              
3584   1              
2222   6              
4319   3              
4477   8              
5710   2              
5497   5              
1502   4              
1599   1              
1504   2              
1506   1              
9943   3              
8833   3              
9944   2              
6678   2              
5555   3              
5660   2              
9911   1              
6130   1              
1613   4              

Average Number of probes: 2.95

Storing with Double Hashing Method/Hash Table

Array Index    ID     
-----------    --     
0              7474   
1              1111   
2              1223   
3              -1     
4              2113   
5              -1     
6              2374   
7              -1     
8              -1     
9              7890   
10             8594   
11             -1     
12             5858   
13             -1     
14             -1     
15             3589   
16             4567   
17             5678   
18             6789   
19             -1     
20             -1     
21             8901   
22             3352   
23             -1     
24             4723   
25             -1     
26             -1     
27             9573   
28             3284   
29             -1     
30             -1     
31             -1     
32             -1     
33             -1     
34             9012   
35             1925   
36             8546   
37             -1     
38             -1     
39             -1     

<<<*** Succ/Double Hashing Method ***>>>

ID     Number of Comparison
--     --------------------
1111   1              
3352   1              
4567   1              
5678   1              
6789   1              
7890   1              
8901   1              
9012   3              
1223   1              
2113   1              
8546   1              
2374   1              
4723   1              
9573   1              
3284   1              
7474   1              
8594   1              
3589   3              
5858   1              
1925   3              

Average Number of probes: 1.30

<<<*** Unsucc/Double Hashing Method ***>>>

ID     Number of Comparison
--     --------------------
9456   8              
3584   1              
2222   3              
4319   3              
4477   3              
5710   5              
5497   5              
1502   5              
1599   1              
1504   4              
1506   1              
9943   5              
8833   5              
9944   8              
6678   4              
5555   1              
5660   3              
9911   1              
6130   1              
1613   4              

Average Number of probes: 3.55


***< Summary Report >***

<<< ASL for Successful Search >>>

Sequential     Binary    Hashing Division    Double Hashing      
----------     ------    ----------------    --------------      
10.50          6.30      1.45                1.30                

<<< ASL for Unsuccessful Search >>>

Sequential     Binary    Hashing Division    Double Hashing      
----------     ------    ----------------    --------------      
20.00          6.80      2.95                3.55                

*~ END ~*
